pv_id;timestamp;load;unit_load;reactive;unit_reactive
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 14:15;58;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 14:30;36;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 14:45;28;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 15:00;22;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 15:15;14;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 15:30;10;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 15:45;12;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 16:00;10;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 16:15;10;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 16:30;6;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 16:45;2;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 17:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 17:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 17:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 17:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 18:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 18:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 18:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 18:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 19:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 19:15;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 19:30;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 19:45;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 20:00;0;kW;0;kVarh
fe49a4f1-eac6-4c50-9451-6c45037223ba;16.11.2022 20:15;0;kW;0;kVarh
